,LA_code,LA_name,GI_code,GI_categories,Religion_code,Religion_categories,Observation,Group_Percentages_No religion,Total_LA_counts,No religion_%,Religion_code_Christian,Religion_categories_Christian,Observation_Christian,Group_Percentages_Christian,Total_LA_counts_Christian,Christian_%,Religion_code_Muslim,Religion_categories_Muslim,Observation_Muslim,Group_Percentages_Muslim,Total_LA_counts_Muslim,Muslim_%,Religion_code_Other,Religion_categories_Other,Observation_Other,Group_Percentages_Other,Total_LA_counts_Other,Other_%,Religion_code_Buddhist,Religion_categories_Buddhist,Observation_Buddhist,Group_Percentages_Buddhist,Total_LA_counts_Buddhist,Buddhist_%,Religion_code_Jewish,Religion_categories_Jewish,Observation_Jewish,Group_Percentages_Jewish,Total_LA_counts_Jewish,Jewish_%,Religion_code_Hindu,Religion_categories_Hindu,Observation_Hindu,Group_Percentages_Hindu,Total_LA_counts_Hindu,Hindu_%,Religion_code_Sikh,Religion_categories_Sikh,Observation_Sikh,Group_Percentages_Sikh,Total_LA_counts_Sikh,Sikh_%
64,E07000026,Allerdale,3,Not answered,1,No religion,736,0.97,75913,33.099999999999994,2,Christian,1303,1.72,75913,65.89,6,Muslim,12,0.02,75913,0.23,8,Other religion,22,0.03,75913,0.38,3,Buddhist,8,0.01,75913,0.27,5,Jewish,1,0.0,75913,0.38,4,Hindu,2,0.0,75913,0.38,7,Sikh,4,0.01,75913,0.38
65,E07000027,Barrow-in-Furness,3,Not answered,1,No religion,683,1.3,52728,39.13999999999999,2,Christian,855,1.62,52728,59.44,6,Muslim,22,0.04,52728,0.44,8,Other religion,26,0.05,52728,0.44,3,Buddhist,3,0.01,52728,0.30000000000000004,5,Jewish,0,0.0,52728,0.44,4,Hindu,4,0.01,52728,0.44,7,Sikh,5,0.01,52728,0.44
66,E07000028,Carlisle,3,Not answered,1,No religion,980,1.14,86280,38.67,2,Christian,1634,1.89,86280,59.33,6,Muslim,46,0.05,86280,0.7500000000000001,8,Other religion,22,0.03,86280,0.45999999999999996,3,Buddhist,17,0.02,86280,0.37,5,Jewish,3,0.0,86280,0.45999999999999996,4,Hindu,9,0.01,86280,0.45999999999999996,7,Sikh,1,0.0,86280,0.45999999999999996
67,E07000029,Copeland,3,Not answered,1,No religion,484,0.91,53209,28.27,2,Christian,1123,2.11,53209,70.54,6,Muslim,16,0.03,53209,0.38,8,Other religion,15,0.03,53209,0.42000000000000004,3,Buddhist,7,0.01,53209,0.26,5,Jewish,2,0.0,53209,0.42000000000000004,4,Hindu,3,0.01,53209,0.42000000000000004,7,Sikh,0,0.0,53209,0.42000000000000004
68,E07000030,Eden,3,Not answered,1,No religion,472,1.07,43966,34.72,2,Christian,974,2.22,43966,63.989999999999995,6,Muslim,17,0.04,43966,0.32,8,Other religion,13,0.03,43966,0.52,3,Buddhist,5,0.01,43966,0.3,5,Jewish,3,0.01,43966,0.52,4,Hindu,2,0.0,43966,0.52,7,Sikh,1,0.0,43966,0.52
69,E07000031,South Lakeland,3,Not answered,1,No religion,989,1.17,84269,37.96,2,Christian,1512,1.79,84269,60.459999999999994,6,Muslim,16,0.02,84269,0.22999999999999998,8,Other religion,32,0.04,84269,0.53,3,Buddhist,27,0.03,84269,0.63,5,Jewish,1,0.0,84269,0.53,4,Hindu,4,0.0,84269,0.53,7,Sikh,1,0.0,84269,0.53
70,E07000032,Amber Valley,3,Not answered,1,No religion,1381,1.39,99178,46.62,2,Christian,1907,1.92,99178,51.74,6,Muslim,14,0.01,99178,0.24000000000000002,8,Other religion,46,0.05,99178,0.6900000000000001,3,Buddhist,18,0.02,99178,0.26,5,Jewish,1,0.0,99178,0.6900000000000001,4,Hindu,3,0.0,99178,0.6900000000000001,7,Sikh,10,0.01,99178,0.6900000000000001
71,E07000033,Bolsover,3,Not answered,1,No religion,858,1.37,62555,43.949999999999996,2,Christian,1241,1.98,62555,54.629999999999995,6,Muslim,9,0.01,62555,0.28,8,Other religion,27,0.04,62555,0.51,3,Buddhist,7,0.01,62555,0.21000000000000002,5,Jewish,1,0.0,62555,0.51,4,Hindu,8,0.01,62555,0.51,7,Sikh,1,0.0,62555,0.51
72,E07000034,Chesterfield,3,Not answered,1,No religion,1075,1.32,81259,43.730000000000004,2,Christian,1555,1.91,81259,53.99999999999999,6,Muslim,77,0.09,81259,0.86,8,Other religion,27,0.03,81259,0.5900000000000001,3,Buddhist,13,0.02,81259,0.30000000000000004,5,Jewish,3,0.0,81259,0.5900000000000001,4,Hindu,14,0.02,81259,0.5900000000000001,7,Sikh,2,0.0,81259,0.5900000000000001
73,E07000035,Derbyshire Dales,3,Not answered,1,No religion,681,1.18,57630,37.51,2,Christian,1051,1.82,57630,61.010000000000005,6,Muslim,35,0.06,57630,0.36,8,Other religion,26,0.05,57630,0.53,3,Buddhist,8,0.01,57630,0.34,5,Jewish,1,0.0,57630,0.53,4,Hindu,0,0.0,57630,0.53,7,Sikh,3,0.01,57630,0.53
74,E07000036,Erewash,3,Not answered,1,No religion,1170,1.32,88483,49.31,2,Christian,1519,1.72,88483,48.559999999999995,6,Muslim,15,0.02,88483,0.41000000000000003,8,Other religion,35,0.04,88483,0.64,3,Buddhist,17,0.02,88483,0.26,5,Jewish,1,0.0,88483,0.64,4,Hindu,15,0.02,88483,0.64,7,Sikh,10,0.01,88483,0.64
75,E07000037,High Peak,3,Not answered,1,No religion,890,1.25,71457,44.31,2,Christian,1058,1.48,71457,54.18,6,Muslim,14,0.02,71457,0.25,8,Other religion,28,0.04,71457,0.64,3,Buddhist,17,0.02,71457,0.43,5,Jewish,2,0.0,71457,0.64,4,Hindu,2,0.0,71457,0.64,7,Sikh,1,0.0,71457,0.64
76,E07000038,North East Derbyshire,3,Not answered,1,No religion,954,1.18,80664,41.22,2,Christian,1509,1.87,80664,57.48,6,Muslim,7,0.01,80664,0.28,8,Other religion,23,0.03,80664,0.47,3,Buddhist,10,0.01,80664,0.22,5,Jewish,2,0.0,80664,0.47,4,Hindu,3,0.0,80664,0.47,7,Sikh,2,0.0,80664,0.47
77,E07000039,South Derbyshire,3,Not answered,1,No religion,885,1.07,82342,42.13,2,Christian,1375,1.67,82342,53.60000000000001,6,Muslim,28,0.03,82342,0.66,8,Other religion,23,0.03,82342,0.5700000000000001,3,Buddhist,9,0.01,82342,0.27,5,Jewish,0,0.0,82342,0.5700000000000001,4,Hindu,17,0.02,82342,0.5700000000000001,7,Sikh,61,0.07,82342,0.5700000000000001
78,E07000040,East Devon,3,Not answered,1,No religion,1467,1.23,119393,41.76,2,Christian,2368,1.98,119393,56.65,6,Muslim,7,0.01,119393,0.29000000000000004,8,Other religion,51,0.04,119393,0.64,3,Buddhist,30,0.03,119393,0.4,5,Jewish,2,0.0,119393,0.64,4,Hindu,8,0.01,119393,0.64,7,Sikh,2,0.0,119393,0.64
79,E07000041,Exeter,3,Not answered,1,No religion,1481,1.44,103127,50.8,2,Christian,1573,1.53,103127,44.92,6,Muslim,158,0.15,103127,1.93,8,Other religion,62,0.06,103127,0.79,3,Buddhist,41,0.04,103127,0.68,5,Jewish,7,0.01,103127,0.79,4,Hindu,20,0.02,103127,0.79,7,Sikh,1,0.0,103127,0.79
80,E07000042,Mid Devon,3,Not answered,1,No religion,875,1.36,64103,44.37,2,Christian,1200,1.87,64103,54.11,6,Muslim,3,0.0,64103,0.15,8,Other religion,37,0.06,64103,0.76,3,Buddhist,15,0.02,64103,0.36000000000000004,5,Jewish,2,0.0,64103,0.76,4,Hindu,7,0.01,64103,0.76,7,Sikh,1,0.0,64103,0.76
81,E07000043,North Devon,3,Not answered,1,No religion,1162,1.51,77040,44.599999999999994,2,Christian,1474,1.91,77040,53.57999999999999,6,Muslim,15,0.02,77040,0.42000000000000004,8,Other religion,36,0.05,77040,0.6900000000000001,3,Buddhist,22,0.03,77040,0.38,5,Jewish,3,0.0,77040,0.6900000000000001,4,Hindu,6,0.01,77040,0.6900000000000001,7,Sikh,2,0.0,77040,0.6900000000000001
82,E07000044,South Hams,3,Not answered,1,No religion,924,1.32,70260,43.809999999999995,2,Christian,1049,1.49,70260,53.86000000000001,6,Muslim,24,0.03,70260,0.32999999999999996,8,Other religion,44,0.06,70260,0.98,3,Buddhist,25,0.04,70260,0.74,5,Jewish,4,0.01,70260,0.98,4,Hindu,2,0.0,70260,0.98,7,Sikh,5,0.01,70260,0.98
83,E07000045,Teignbridge,3,Not answered,1,No religion,1552,1.46,106556,44.5,2,Christian,1902,1.78,106556,53.68,6,Muslim,16,0.02,106556,0.27,8,Other religion,52,0.05,106556,0.8600000000000001,3,Buddhist,33,0.03,106556,0.47,5,Jewish,4,0.0,106556,0.8600000000000001,4,Hindu,10,0.01,106556,0.8600000000000001,7,Sikh,0,0.0,106556,0.8600000000000001
84,E07000046,Torridge,3,Not answered,1,No religion,813,1.51,53852,43.019999999999996,2,Christian,1048,1.95,53852,55.540000000000006,6,Muslim,12,0.02,53852,0.13999999999999999,8,Other religion,37,0.07,53852,0.77,3,Buddhist,11,0.02,53852,0.38,5,Jewish,2,0.0,53852,0.77,4,Hindu,3,0.01,53852,0.77,7,Sikh,0,0.0,53852,0.77
85,E07000047,West Devon,3,Not answered,1,No religion,636,1.4,45369,41.57,2,Christian,896,1.97,45369,56.61,6,Muslim,2,0.0,45369,0.21,8,Other religion,37,0.08,45369,0.95,3,Buddhist,14,0.03,45369,0.44999999999999996,5,Jewish,3,0.01,45369,0.95,4,Hindu,2,0.0,45369,0.95,7,Sikh,1,0.0,45369,0.95
86,E07000061,Eastbourne,3,Not answered,1,No religion,1122,1.42,79069,43.400000000000006,2,Christian,1506,1.9,79069,52.25,6,Muslim,131,0.17,79069,2.0100000000000002,8,Other religion,36,0.05,79069,0.8700000000000001,3,Buddhist,46,0.06,79069,0.6799999999999999,5,Jewish,12,0.02,79069,0.8700000000000001,4,Hindu,23,0.03,79069,0.8700000000000001,7,Sikh,0,0.0,79069,0.8700000000000001
87,E07000062,Hastings,3,Not answered,1,No religion,1318,1.89,69781,51.84,2,Christian,1141,1.64,69781,43.82,6,Muslim,100,0.14,69781,1.71,8,Other religion,73,0.1,69781,1.07,3,Buddhist,23,0.03,69781,0.75,5,Jewish,10,0.01,69781,1.07,4,Hindu,17,0.02,69781,1.07,7,Sikh,4,0.01,69781,1.07
88,E07000063,Lewes,3,Not answered,1,No religion,1116,1.43,78131,47.91,2,Christian,1171,1.5,78131,49.019999999999996,6,Muslim,61,0.08,78131,0.77,8,Other religion,53,0.07,78131,0.9000000000000001,3,Buddhist,32,0.04,78131,0.68,5,Jewish,9,0.01,78131,0.9000000000000001,4,Hindu,8,0.01,78131,0.9000000000000001,7,Sikh,2,0.0,78131,0.9000000000000001
89,E07000064,Rother,3,Not answered,1,No religion,969,1.3,74346,40.56,2,Christian,1455,1.96,74346,57.38,6,Muslim,14,0.02,74346,0.52,8,Other religion,42,0.06,74346,0.6499999999999999,3,Buddhist,23,0.03,74346,0.43000000000000005,5,Jewish,6,0.01,74346,0.6499999999999999,4,Hindu,5,0.01,74346,0.6499999999999999,7,Sikh,0,0.0,74346,0.6499999999999999
90,E07000065,Wealden,3,Not answered,1,No religion,1457,1.16,125517,41.949999999999996,2,Christian,2040,1.63,125517,55.71000000000001,6,Muslim,33,0.03,125517,0.48,8,Other religion,81,0.06,125517,0.97,3,Buddhist,26,0.02,125517,0.4,5,Jewish,6,0.0,125517,0.97,4,Hindu,13,0.01,125517,0.97,7,Sikh,1,0.0,125517,0.97
91,E07000066,Basildon,3,Not answered,1,No religion,1603,1.14,140968,43.49,2,Christian,2378,1.69,140968,52.35,6,Muslim,124,0.09,140968,1.6600000000000001,8,Other religion,48,0.03,140968,0.48,3,Buddhist,33,0.02,140968,0.35000000000000003,5,Jewish,14,0.01,140968,0.48,4,Hindu,102,0.07,140968,0.48,7,Sikh,12,0.01,140968,0.48
92,E07000067,Braintree,3,Not answered,1,No religion,1410,1.18,119299,44.53,2,Christian,1856,1.56,119299,53.33,6,Muslim,65,0.05,119299,0.6000000000000001,8,Other religion,34,0.03,119299,0.53,3,Buddhist,30,0.03,119299,0.32999999999999996,5,Jewish,2,0.0,119299,0.53,4,Hindu,27,0.02,119299,0.53,7,Sikh,2,0.0,119299,0.53
93,E07000068,Brentwood,3,Not answered,1,No religion,586,0.99,59370,34.230000000000004,2,Christian,999,1.68,59370,60.64,6,Muslim,53,0.09,59370,1.4700000000000002,8,Other religion,17,0.03,59370,0.4,3,Buddhist,13,0.02,59370,0.46,5,Jewish,5,0.01,59370,0.4,4,Hindu,55,0.09,59370,0.4,7,Sikh,2,0.0,59370,0.4
94,E07000069,Castle Point,3,Not answered,1,No religion,854,1.21,70657,42.24,2,Christian,1189,1.68,70657,55.21,6,Muslim,28,0.04,70657,0.7200000000000001,8,Other religion,14,0.02,70657,0.46,3,Buddhist,7,0.01,70657,0.3,5,Jewish,63,0.09,70657,0.46,4,Hindu,29,0.04,70657,0.46,7,Sikh,1,0.0,70657,0.46
95,E07000070,Chelmsford,3,Not answered,1,No religion,1506,1.08,139278,41.57,2,Christian,2187,1.57,139278,53.56,6,Muslim,150,0.11,139278,1.84,8,Other religion,50,0.04,139278,0.49,3,Buddhist,34,0.02,139278,0.54,5,Jewish,7,0.01,139278,0.49,4,Hindu,90,0.06,139278,0.49,7,Sikh,4,0.0,139278,0.49
96,E07000071,Colchester,3,Not answered,1,No religion,1929,1.32,146623,44.78,2,Christian,2213,1.51,146623,50.089999999999996,6,Muslim,212,0.14,146623,1.9500000000000002,8,Other religion,63,0.04,146623,0.7100000000000001,3,Buddhist,52,0.04,146623,0.8,5,Jewish,15,0.01,146623,0.7100000000000001,4,Hindu,77,0.05,146623,0.7100000000000001,7,Sikh,17,0.01,146623,0.7100000000000001
97,E07000072,Epping Forest,3,Not answered,1,No religion,1039,1.0,103522,33.58,2,Christian,1844,1.78,103522,54.74,6,Muslim,191,0.18,103522,3.33,8,Other religion,52,0.05,103522,0.6900000000000001,3,Buddhist,21,0.02,103522,0.44,5,Jewish,52,0.05,103522,0.6900000000000001,4,Hindu,84,0.08,103522,0.6900000000000001,7,Sikh,63,0.06,103522,0.6900000000000001
98,E07000073,Harlow,3,Not answered,1,No religion,910,1.31,69216,43.86,2,Christian,1362,1.97,69216,49.800000000000004,6,Muslim,200,0.29,69216,3.61,8,Other religion,41,0.06,69216,0.78,3,Buddhist,19,0.03,69216,0.45999999999999996,5,Jewish,6,0.01,69216,0.78,4,Hindu,27,0.04,69216,0.78,7,Sikh,1,0.0,69216,0.78
99,E07000074,Maldon,3,Not answered,1,No religion,604,1.15,52481,42.65,2,Christian,716,1.36,52481,55.57,6,Muslim,13,0.02,52481,0.45,8,Other religion,18,0.03,52481,0.49,3,Buddhist,8,0.02,52481,0.37000000000000005,5,Jewish,2,0.0,52481,0.49,4,Hindu,5,0.01,52481,0.49,7,Sikh,1,0.0,52481,0.49
100,E07000075,Rochford,3,Not answered,1,No religion,639,0.96,66905,43.81,2,Christian,888,1.33,66905,54.13,6,Muslim,14,0.02,66905,0.45,8,Other religion,17,0.03,66905,0.47,3,Buddhist,4,0.01,66905,0.29000000000000004,5,Jewish,3,0.0,66905,0.47,4,Hindu,12,0.02,66905,0.47,7,Sikh,1,0.0,66905,0.47
101,E07000076,Tendring,3,Not answered,1,No religion,1707,1.45,117632,41.84,2,Christian,2593,2.2,117632,56.410000000000004,6,Muslim,35,0.03,117632,0.4,8,Other religion,42,0.04,117632,0.56,3,Buddhist,25,0.02,117632,0.33,5,Jewish,14,0.01,117632,0.56,4,Hindu,24,0.02,117632,0.56,7,Sikh,3,0.0,117632,0.56
102,E07000077,Uttlesford,3,Not answered,1,No religion,705,1.02,69451,41.18,2,Christian,1007,1.45,69451,56.09,6,Muslim,17,0.02,69451,0.72,8,Other religion,42,0.06,69451,0.49,3,Buddhist,21,0.03,69451,0.48,5,Jewish,7,0.01,69451,0.49,4,Hindu,19,0.03,69451,0.49,7,Sikh,1,0.0,69451,0.49
103,E07000078,Cheltenham,3,Not answered,1,No religion,1213,1.31,92531,45.86000000000001,2,Christian,1396,1.51,92531,50.28,6,Muslim,94,0.1,92531,1.3,8,Other religion,31,0.03,92531,0.6300000000000001,3,Buddhist,35,0.04,92531,0.54,5,Jewish,6,0.01,92531,0.6300000000000001,4,Hindu,66,0.07,92531,0.6300000000000001,7,Sikh,6,0.01,92531,0.6300000000000001
104,E07000079,Cotswold,3,Not answered,1,No religion,655,0.91,71947,36.879999999999995,2,Christian,1212,1.68,71947,61.37,6,Muslim,21,0.03,71947,0.25,8,Other religion,44,0.06,71947,0.54,3,Buddhist,14,0.02,71947,0.41000000000000003,5,Jewish,2,0.0,71947,0.54,4,Hindu,4,0.01,71947,0.54,7,Sikh,0,0.0,71947,0.54
105,E07000080,Forest of Dean,3,Not answered,1,No religion,882,1.29,68505,41.489999999999995,2,Christian,1357,1.98,68505,56.98,6,Muslim,16,0.02,68505,0.24,8,Other religion,34,0.05,68505,0.7000000000000001,3,Buddhist,8,0.01,68505,0.3,5,Jewish,2,0.0,68505,0.7000000000000001,4,Hindu,10,0.01,68505,0.7000000000000001,7,Sikh,2,0.0,68505,0.7000000000000001
106,E07000081,Gloucester,3,Not answered,1,No religion,1277,1.27,100677,40.26,2,Christian,1900,1.89,100677,53.25,6,Muslim,324,0.32,100677,4.34,8,Other religion,53,0.05,100677,0.5900000000000001,3,Buddhist,23,0.02,100677,0.36000000000000004,5,Jewish,0,0.0,100677,0.5900000000000001,4,Hindu,41,0.04,100677,0.5900000000000001,7,Sikh,10,0.01,100677,0.5900000000000001
107,E07000082,Stroud,3,Not answered,1,No religion,1206,1.28,94042,44.46,2,Christian,1571,1.67,94042,53.4,6,Muslim,21,0.02,94042,0.29000000000000004,8,Other religion,54,0.06,94042,0.9099999999999999,3,Buddhist,21,0.02,94042,0.52,5,Jewish,6,0.01,94042,0.9099999999999999,4,Hindu,2,0.0,94042,0.9099999999999999,7,Sikh,2,0.0,94042,0.9099999999999999
108,E07000083,Tewkesbury,3,Not answered,1,No religion,791,1.08,72915,40.519999999999996,2,Christian,1230,1.69,72915,57.12,6,Muslim,22,0.03,72915,0.48,8,Other religion,16,0.02,72915,0.52,3,Buddhist,16,0.02,72915,0.43,5,Jewish,2,0.0,72915,0.52,4,Hindu,26,0.04,72915,0.52,7,Sikh,6,0.01,72915,0.52
109,E07000084,Basingstoke and Deane,3,Not answered,1,No religion,1598,1.13,141832,43.81,2,Christian,1855,1.31,141832,50.589999999999996,6,Muslim,172,0.12,141832,1.31,8,Other religion,77,0.05,141832,0.7500000000000001,3,Buddhist,47,0.03,141832,0.9600000000000001,5,Jewish,7,0.0,141832,0.7500000000000001,4,Hindu,163,0.11,141832,0.7500000000000001,7,Sikh,8,0.01,141832,0.7500000000000001
110,E07000085,East Hampshire,3,Not answered,1,No religion,1058,1.08,97830,41.04,2,Christian,1510,1.54,97830,56.91,6,Muslim,51,0.05,97830,0.55,8,Other religion,39,0.04,97830,0.56,3,Buddhist,16,0.02,97830,0.39,5,Jewish,5,0.01,97830,0.56,4,Hindu,21,0.02,97830,0.56,7,Sikh,1,0.0,97830,0.56
111,E07000086,Eastleigh,3,Not answered,1,No religion,1191,1.14,104408,44.69,2,Christian,1319,1.26,104408,51.56,6,Muslim,51,0.05,104408,0.9500000000000001,8,Other religion,34,0.03,104408,0.53,3,Buddhist,26,0.02,104408,0.44,5,Jewish,2,0.0,104408,0.53,4,Hindu,51,0.05,104408,0.53,7,Sikh,51,0.05,104408,0.53
112,E07000087,Fareham,3,Not answered,1,No religion,995,1.1,90589,42.88,2,Christian,1216,1.34,90589,55.190000000000005,6,Muslim,27,0.03,90589,0.5700000000000001,8,Other religion,31,0.03,90589,0.52,3,Buddhist,14,0.02,90589,0.34,5,Jewish,3,0.0,90589,0.52,4,Hindu,13,0.01,90589,0.52,7,Sikh,2,0.0,90589,0.52
113,E07000088,Gosport,3,Not answered,1,No religion,743,1.16,63881,47.019999999999996,2,Christian,885,1.39,63881,50.970000000000006,6,Muslim,13,0.02,63881,0.51,8,Other religion,27,0.04,63881,0.77,3,Buddhist,11,0.02,63881,0.38,5,Jewish,1,0.0,63881,0.77,4,Hindu,21,0.03,63881,0.77,7,Sikh,0,0.0,63881,0.77
114,E07000089,Hart,3,Not answered,1,No religion,684,0.9,76090,41.089999999999996,2,Christian,938,1.23,76090,55.26,6,Muslim,23,0.03,76090,0.76,8,Other religion,28,0.04,76090,0.49,3,Buddhist,32,0.04,76090,0.7200000000000001,5,Jewish,3,0.0,76090,0.49,4,Hindu,51,0.07,76090,0.49,7,Sikh,3,0.0,76090,0.49
115,E07000090,Havant,3,Not answered,1,No religion,1290,1.33,97226,46.22,2,Christian,1442,1.48,97226,51.9,6,Muslim,23,0.02,97226,0.49000000000000005,8,Other religion,36,0.04,97226,0.6100000000000001,3,Buddhist,16,0.02,97226,0.34,5,Jewish,6,0.01,97226,0.6100000000000001,4,Hindu,23,0.02,97226,0.6100000000000001,7,Sikh,6,0.01,97226,0.6100000000000001
116,E07000091,New Forest,3,Not answered,1,No religion,1649,1.18,139846,40.18,2,Christian,2495,1.78,139846,58.11000000000001,6,Muslim,33,0.02,139846,0.32,8,Other religion,55,0.04,139846,0.67,3,Buddhist,22,0.02,139846,0.36000000000000004,5,Jewish,5,0.0,139846,0.67,4,Hindu,13,0.01,139846,0.67,7,Sikh,4,0.0,139846,0.67
117,E07000092,Rushmoor,3,Not answered,1,No religion,847,1.1,76687,38.019999999999996,2,Christian,991,1.29,76687,46.3,6,Muslim,144,0.19,76687,2.1999999999999997,8,Other religion,64,0.08,76687,1.4600000000000002,3,Buddhist,321,0.42,76687,5.43,5,Jewish,5,0.01,76687,1.4600000000000002,4,Hindu,296,0.39,76687,1.4600000000000002,7,Sikh,7,0.01,76687,1.4600000000000002
118,E07000093,Test Valley,3,Not answered,1,No religion,1174,1.16,100912,40.48,2,Christian,1520,1.51,100912,56.3,6,Muslim,38,0.04,100912,0.8200000000000001,8,Other religion,32,0.03,100912,0.55,3,Buddhist,23,0.02,100912,0.54,5,Jewish,4,0.0,100912,0.55,4,Hindu,38,0.04,100912,0.55,7,Sikh,20,0.02,100912,0.55
119,E07000094,Winchester,3,Not answered,1,No religion,971,0.99,98395,43.04,2,Christian,1296,1.32,98395,53.81,6,Muslim,27,0.03,98395,0.68,8,Other religion,41,0.04,98395,0.6300000000000001,3,Buddhist,31,0.03,98395,0.7100000000000001,5,Jewish,5,0.01,98395,0.6300000000000001,4,Hindu,37,0.04,98395,0.6300000000000001,7,Sikh,2,0.0,98395,0.6300000000000001
120,E07000095,Broxbourne,3,Not answered,1,No religion,814,1.09,74946,33.25000000000001,2,Christian,1537,2.05,74946,58.67,6,Muslim,205,0.27,74946,4.08,8,Other religion,126,0.17,74946,1.66,3,Buddhist,18,0.02,74946,0.52,5,Jewish,2,0.0,74946,1.66,4,Hindu,34,0.05,74946,1.66,7,Sikh,2,0.0,74946,1.66
121,E07000096,Dacorum,3,Not answered,1,No religion,1400,1.2,116517,41.74,2,Christian,1777,1.53,116517,51.660000000000004,6,Muslim,257,0.22,116517,2.92,8,Other religion,57,0.05,116517,0.55,3,Buddhist,20,0.02,116517,0.56,5,Jewish,22,0.02,116517,0.55,4,Hindu,90,0.08,116517,0.55,7,Sikh,10,0.01,116517,0.55
122,E07000098,Hertsmere,3,Not answered,1,No religion,762,0.94,80737,25.5,2,Christian,1477,1.83,80737,46.269999999999996,6,Muslim,145,0.18,80737,3.6100000000000003,8,Other religion,66,0.08,80737,1.1400000000000001,3,Buddhist,28,0.03,80737,0.64,5,Jewish,218,0.27,80737,1.1400000000000001,4,Hindu,203,0.25,80737,1.1400000000000001,7,Sikh,17,0.02,80737,1.1400000000000001
123,E07000099,North Hertfordshire,3,Not answered,1,No religion,1212,1.19,101625,44.93,2,Christian,1388,1.37,101625,49.11,6,Muslim,79,0.08,101625,1.4200000000000002,8,Other religion,45,0.04,101625,0.65,3,Buddhist,33,0.03,101625,0.55,5,Jewish,10,0.01,101625,0.65,4,Hindu,52,0.05,101625,0.65,7,Sikh,95,0.09,101625,0.65
124,E07000102,Three Rivers,3,Not answered,1,No religion,696,0.98,70963,31.64,2,Christian,1059,1.49,70963,52.14,6,Muslim,138,0.19,70963,3.52,8,Other religion,36,0.05,70963,1.04,3,Buddhist,17,0.02,70963,0.5800000000000001,5,Jewish,32,0.05,70963,1.04,4,Hindu,259,0.36,70963,1.04,7,Sikh,22,0.03,70963,1.04
125,E07000103,Watford,3,Not answered,1,No religion,735,0.97,76075,26.799999999999997,2,Christian,1628,2.14,76075,49.150000000000006,6,Muslim,639,0.84,76075,12.15,8,Other religion,65,0.09,76075,0.92,3,Buddhist,29,0.04,76075,1.11,5,Jewish,14,0.02,76075,0.92,4,Hindu,357,0.47,76075,0.92,7,Sikh,24,0.03,76075,0.92
126,E07000105,Ashford,3,Not answered,1,No religion,1184,1.17,100889,40.28,2,Christian,1591,1.58,100889,53.349999999999994,6,Muslim,93,0.09,100889,1.4100000000000001,8,Other religion,101,0.1,100889,1.35,3,Buddhist,70,0.07,100889,1.1600000000000001,5,Jewish,7,0.01,100889,1.35,4,Hindu,106,0.11,100889,1.35,7,Sikh,4,0.0,100889,1.35
127,E07000106,Canterbury,3,Not answered,1,No religion,1498,1.21,123419,43.01,2,Christian,1939,1.57,123419,52.35,6,Muslim,109,0.09,123419,1.8,8,Other religion,72,0.06,123419,0.8600000000000001,3,Buddhist,40,0.03,123419,0.7100000000000001,5,Jewish,8,0.01,123419,0.8600000000000001,4,Hindu,56,0.05,123419,0.8600000000000001,7,Sikh,6,0.0,123419,0.8600000000000001
128,E07000107,Dartford,3,Not answered,1,No religion,886,1.03,85911,37.150000000000006,2,Christian,1449,1.69,85911,53.18,6,Muslim,182,0.21,85911,3.09,8,Other religion,50,0.06,85911,0.46,3,Buddhist,35,0.04,85911,0.66,5,Jewish,4,0.0,85911,0.46,4,Hindu,175,0.2,85911,0.46,7,Sikh,57,0.07,85911,0.46
129,E07000108,Dover,3,Not answered,1,No religion,1198,1.32,90961,41.72,2,Christian,1577,1.73,90961,55.709999999999994,6,Muslim,37,0.04,90961,0.5700000000000001,8,Other religion,58,0.06,90961,0.6599999999999999,3,Buddhist,38,0.04,90961,0.56,5,Jewish,5,0.01,90961,0.6599999999999999,4,Hindu,36,0.04,90961,0.6599999999999999,7,Sikh,6,0.01,90961,0.6599999999999999
130,E07000109,Gravesham,3,Not answered,1,No religion,799,1.0,80286,31.81,2,Christian,1488,1.85,80286,54.43,6,Muslim,113,0.14,80286,2.73,8,Other religion,45,0.06,80286,0.71,3,Buddhist,23,0.03,80286,0.37,5,Jewish,2,0.0,80286,0.71,4,Hindu,46,0.06,80286,0.71,7,Sikh,273,0.34,80286,0.71
131,E07000110,Maidstone,3,Not answered,1,No religion,1600,1.19,134231,39.919999999999995,2,Christian,2294,1.71,134231,54.980000000000004,6,Muslim,201,0.15,134231,1.67,8,Other religion,92,0.07,134231,0.78,3,Buddhist,71,0.05,134231,0.88,5,Jewish,10,0.01,134231,0.78,4,Hindu,129,0.1,134231,0.78,7,Sikh,8,0.01,134231,0.78
132,E07000111,Sevenoaks,3,Not answered,1,No religion,1013,1.11,91100,39.75,2,Christian,1470,1.61,91100,57.41,6,Muslim,46,0.05,91100,0.8600000000000001,8,Other religion,21,0.02,91100,0.41000000000000003,3,Buddhist,20,0.02,91100,0.44,5,Jewish,4,0.0,91100,0.41000000000000003,4,Hindu,23,0.03,91100,0.41000000000000003,7,Sikh,7,0.01,91100,0.41000000000000003
